,Positive,Neutral,Negative
0,16,Dirty money piling up in L.A. as coronavirus cripples international money laundering ,10
1,MERS is also a coronavirus and it shifted from camels in Saudi Arabia and Jordan so I wouldn’t hold out any hope in the weather helping.,Family of four with coronavirus in UAE will be discharged in 14 days ,Bahrain reported two deaths from the coronavirus (Covid-19) tonight https://bit.ly/3dleLIb #Bahrain #coronavirus #Corona #Covid19
2,RT @TheRealPCB: Get well soon. Praying for your swift recovery!,"According to various sources the number of #Covid19 cases in the hotel where all the teams have been staying for the #UAETour has gone up from 2 to 4, all staff members. Riders should get the results of the testing from 3pm CET. #fingerscrossed","The Ministry of Health announces the death of a 88-year-old Bahraini, a registered active case of coronavirus #COVID19 suffering from underlying and chronic health problems.."
3,Get wil soon Lala. Strong 💪 ❤️🤲🏻,"RT @GDNonline: The Health Ministry has registered 444 new cases of Covid-19, of which 291 are expatriate workers, 144 are contacts of activ…",Coronavirus outbreak: 22-year-old Indian dies in Malaysia 
4,RT @Sanath07: My prayers and well wishes to you brother Afridi. Get well soon and continue your good work,"#Bahrain has reported 444 new cases of #coronavirus, after conducting over 6,000 additional #COVID19 tests.

https://t.co/TxmCkEMJ3h","The live count page that gives us an idea of where the virus is, and where it's headed. https://infographics.channelnewsasia.com/wuhan/gmap.html #Coronavirus #Corona #COVID19 #Bahrain #coronavirusbahrain #COVID19bahrain"
5,"RT @ashoswai: World's 4 countries with highest number of #COVID19 cases at present are headed by 4 Fascists!
1. USA - Trump
2. Brazil - Bol…",RT @rjfahad: .@SAfridiOfficial was out in midst of the pandemic to help underprivileged through his NGO #HopeNotOut . We saw him continuous…,"I feel so sad reading tweets from moots about covid19, I even thought my bosses were OA when they sent me these but now that we have 38 cases... i guess not. We’re okey ... we will try to be okey!!! "
6,"A very useful explainer by #WHO on #masks...
who wear what, when and where.
#MedicalMasks and #FabricMasks.
@WHO… https://t.co/PKdJolEPQP",RT @sri50: #JamesCameron along with 54 member crew reaches #NewZealand to continue with the shoot of #Avatar sequel as the country eases it…,"China reported 17 more cases of pneumonia caused by a new coronavirus strain on Sunday, stoking worries of it spreading as the country gears up to celebrate Chinese lunar new year when hundreds of millions of people travel.

#Health 

Read more: http://bit.ly/2NV2D6f pic.twitter.com/F53W2GnRnP"
7,"A very useful explainer by #WHO on #masks...
who wear what, when and where.
#MedicalMasks and #FabricMasks.
@WHO… https://t.co/OFgDRYpLgw",TRAVEL REMINDER: ALL passengers arriving in the UK will have to undergo a 14-day self-isolated quarantine 😷 Travele… https://t.co/pQ4RnutfXN,"Chinese health authorities said on Saturday they had discovered four more cases of pneumonia following an outbreak of what is believed to be a new coronavirus strain in the central city of Wuhan...

#Health 

Read more: http://bit.ly/2NA3f0z pic.twitter.com/7oEiin1V7g"
8,"Bahrain International Circuit (BIC) is committed to holding a safe and exciting Formula One Gulf Air Grand Prix for local and international fans, and is working closely with all relevant Government departments, to mitigate the spread of Coronavirus (COVID-19). 

#timesofbahrainpic.twitter.com/3puObKV2tj","RT @CISFHQrs: We express our humble gratitude to renowned actor Shri 
@Mohanlal for his kind words of encouragement motivating #CISF person…","Health officials have dismissed fears of a new type of coronavirus spreading in Bahrain, which reportedly originated from the Chinese city of Wuhan

#Bahrain
http://bit.ly/30rN0br pic.twitter.com/gJZNrAtwQ0"
9,,"RT @dsureshkumar: Here is the Tamil Nadu #COVID19 Update for today. 

#Corona https://t.co/9JKyeUZBcH",RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
10,,"Just to keep things in perspective, things will never go to the way they were before 2020 #COVID19 https://t.co/6wdO5hyIoP","RT @Saudi_Gazette: #BREAKING: #SaudiArabia announces 3366 new #coronavirus cases, bringing the total number of cases in the kingdom to 123,…"
11,,,I’ve Been Feeling Unwell Since Sunday. I've Been Feeling Weak. I've Been Tested And Unfortunately I’m Covid Positiv… https://t.co/7LEVC3x57t
12,,,RT @HRCP87: Thread: HRCP is deeply concerned by news from the Middle East where hundreds of thousands of Pakistani #labourers - now jobless…
