"RT @locke_ak: #GetWellSoonLala May Allah Bless You On Speed Recovery! 🤲🏻♥️

#shahidafridi 👍🏻"
RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
Get well soon sir @SAfridiOfficial  you should never give up. We r always with you. Eagerly waiting to see ur boom… https://t.co/Ld7JwFu57G
"RT @KBRincorporated: #KBR personnel print 3-D masks to battle #COVID19, donating own time and resources

📰 » https://t.co/DiAXEC77Uy

#InTh…"
RT @SAfridiOfficial: I’ve been feeling unwell since Thursday; my body had been aching badly. I’ve been tested and unfortunately I’m covid p…
