"“The new norms of the coronavirus era... for the deaf and hard-of-hearing have transformed quotidian tasks into technological labyrinths, and exposed a number of inequities in local health and government systems.” ⁦@mikafrak⁩"
walking around the neighborhood. all of the old people wearing a mask. virtually none of the younger-than-old people wearing masks. I need to get used to this. #coronavirus #BloomingdaleDC
Coronavirus outbreak: Alberta adjusts visitor rule for continuing care facilities | FULL https://decisiveliberty.news/DLEM-Videos/coronavirus-outbreak-alberta-adjusts-visitor-rule-for-continuing-care-facilities-full/?utm_source=twitter&amp;utm_medium=socmed&amp;utm_campaign=DLA #globalnews #newsmedia
Can't Hide the Truth for Long! Florida ordered coroners to stop releasing coronavirus death data: report 
Coronavirus outbreak: New Brunswick officials provide update on COVID-19 | LIVE https://decisiveliberty.news/DLEM-Videos/coronavirus-outbreak-new-brunswick-officials-provide-update-on-covid-19-live/?utm_source=twitter&amp;utm_medium=socmed&amp;utm_campaign=DLA #globalnews #newsmedia
Speaker Pelosi Names Select Members to Bipartisan House Select Committee on the Coronavirus Crisis 
Coronavirus outbreak: Prime Minister Trudeau expected to address crisis in care homes | LIVE https://decisiveliberty.news/DLEM-Videos/coronavirus-outbreak-prime-minister-trudeau-expected-to-address-crisis-in-care-homes-live/?utm_source=twitter&amp;utm_medium=socmed&amp;utm_campaign=DLA #globalnews #newsmedia
"Coronavirus outbreak: Trudeau tells UN “we need a global, co-ordinated plan” to fight COVID-19 https://decisiveliberty.news/DLEM-Videos/coronavirus-outbreak-trudeau-tells-un-we-need-a-global-co-ordinated-plan-to-fight-covid-19/?utm_source=twitter&amp;utm_medium=socmed&amp;utm_campaign=DLA #globalnews #newsmedia"
"Arkansas sees coronavirus ""second wave"" with highest single-day rise in community cases since outbreak began "
[q #4334] Italy: 96% of Coronavirus Fatalities Had Other Chronic Illnesses https://decisiveliberty.news/Q-drops/q-4334-italy-96-of-coronavirus-fatalities-had-other-chronic-illnesses/?utm_source=twitter&amp;utm_medium=socmed&amp;utm_campaign=DLA #chinaviruscovid #italy
Coronavirus outbreak: More Canadians dying of overdoses during the pandemic https://decisiveliberty.news/DLEM-Videos/coronavirus-outbreak-more-canadians-dying-of-overdoses-during-the-pandemic/?utm_source=twitter&amp;utm_medium=socmed&amp;utm_campaign=DLA #globalnews #newsmedia
"that's what was so fundamentally depressing about our coronavirus response - we knew what we had to do to contain it, to ""win"". And our gov't just decided not to do it. America decided to give up."
