,hashtags,timestamp,text,screen_name,likes,retweets
0,['IndiaFightsCoronapic'],2020-04-01 16:03:05,I have directed the health department to make mobile testing vans operational in all districts having pandemic hotspots to conduct community testing for Novel Coronavirus. We are scaling our healthcare infrastructure to meet any eventuality. #IndiaFightsCoronapic.twitter.com/3moTcDPDu6,capt_amarinder,2795,587
1,"['CoronaVirus', '104', 'Coronavid19']",2020-03-02 12:07:57,We have set up Flu Corners in all govt & private hospitals to prepare for any exigency arising from #CoronaVirus. Helpline #104 has been set up to report symptoms related to #Coronavid19. Please note that this is just a precautionary message & urge all to take necessary steps.pic.twitter.com/AzskNEzsdt,capt_amarinder,316,102
2,['IndiaFightsCoronapic'],2020-04-01 16:03:05,I have directed the health department to make mobile testing vans operational in all districts having pandemic hotspots to conduct community testing for Novel Coronavirus. We are scaling our healthcare infrastructure to meet any eventuality. #IndiaFightsCoronapic.twitter.com/3moTcDPDu6,capt_amarinder,2795,587
3,"['CoronaVirus', '104', 'Coronavid19']",2020-03-02 12:07:57,We have set up Flu Corners in all govt & private hospitals to prepare for any exigency arising from #CoronaVirus. Helpline #104 has been set up to report symptoms related to #Coronavid19. Please note that this is just a precautionary message & urge all to take necessary steps.pic.twitter.com/AzskNEzsdt,capt_amarinder,316,102
4,['MissionFatehpic'],2020-06-23 05:03:25,"Punjab Cabinet has approved setting up of 4 New Covid Testing labs along with appointment of 4 Asst. Professors & 131 essential staff. This would further scale up our testing capacity to 13,000 from existing 9000/day. We are fully prepared for the challenges ahead. #MissionFatehpic.twitter.com/eF976wfcls",capt_amarinder,1351,160
5,['Covid19'],2020-06-01 11:26:18,We have decided to levy additional Excise Duty & Assessed Fee in lieu of Covid Cess on liquor with effect from 1 June 2020. These would range from INR 2 to INR 50 depending on type and size of the item sold. The amount collected will be utilised for #Covid19 related expenditure.,capt_amarinder,1416,256
6,['COVID_19'],2020-04-27 16:20:19,Had an introductory meeting with the Group of experts headed by Montek Singh Ahluwalia ji. I want the best for Punjab and couldn't think of better people to guide us towards economic revival post- #COVID_19. This battle is a long one and we need to be prepared on every front.pic.twitter.com/9I1YTDuh3U,capt_amarinder,2516,352
7,['Covid_19'],2020-04-10 00:30:00,Masks are compulsory in Punjab now. Health Secretary is issuing a detailed advisory for the people. Just remember to wear mask when you step out of home for any emergency/essentials. A piece of clean cloth is all you need. Let’s all stay safe and fight #Covid_19 together.pic.twitter.com/jIPRgbnOWX,capt_amarinder,1670,383
8,[],2020-04-03 11:19:09,"[Live] Interview with @Jagbani on Punjab's fight against Covid-19
 https://twitter.com/i/broadcasts/1jMJgQovrQkKL …",capt_amarinder,251,77
9,['Covid19'],2020-03-25 03:30:00,"Setting up Punjab CM CoViD Relief Fund to receive contributions from individuals, organisations & corporates to assist fellow Punjabis in our fight against #Covid19. Your contributions will be used for the benefit of the underprivileged. I thank you all for your support. pic.twitter.com/5XBF11jdLy",capt_amarinder,2294,606
