,Positive,Neutral,Negative
0,10,Current 7d rolling average for Coronavirus in northern states. Data collected from state health departments and is current as of 5:30p 4/29/20. Green triangles represent relaxation of shelter-in-place orders. ,62
1,Does anyone else feel like they’re aging by years over the last 2-3 months? I swear my crows feet have doubled! #coronavirus #quarantine #lockdown #gettingold #crowsfeet,"As Montana reopens, Bullocks unveils plan to increase coronavirus testing ","We can thank the Liberals, Democrats for lawless generated crisises: Corona virus hysteria, inspiring Nationalism; Progressive organized roiters #Antifa destroying Democrat cities thinking it hurts @POTUS, not constitutes. Eating their own now."
2,Wall Street rallies on promising coronavirus drug ,"As Montana reopens, Bullocks unveils plan to increase coronavirus testing #mtnews",#Coronavirus is less deadly than SARS — but that also explains why it’s so contagious 
3,"On a day of economic gloom, scientists offered a ray of hope: the first effective treatment against the coronavirus. Get a recap of important developments in the COVID-19 crisis. https://missoulian.com/news/national/virus-in-brief-what-is-remdesivir-experimental-drug-proves-effective-in-early-tests-heres-the/article_fd4f08e5-9bed-5e91-8a9e-ef786065284f.html#utm_campaign=blox&amp;utm_source=twitter&amp;utm_medium=social","On a day of economic gloom, scientists offered a ray of hope: the first effective treatment against the coronavirus. Get a recap of important developments in the COVID-19 crisis. ",#Coronavirus is less deadly than SARS — but that also explains why it’s so contagious https://on.mktw.net/38OqRH8 
4,The massive protests sweeping across U.S. cities following the police killing of a black man in Minnesota have sent shudders through the health community and elevated fears that the huge crowds will lead to a new surge in cases of the coronavirus. ,"Wearing masks can help reduce the spread of coronavirus, but the practice has led to a new complaint — “maskne,” breakouts caused by wearing a mask for long periods of time. https://ravallirepublic.com/lifestyles/health-med-fit/article_6031824a-30b4-52fd-bbf3-66b7f1d262f7.html?utm_campaign=snd-autopilot&amp;utm_medium=social&amp;utm_source=twitter_RavalliRepublic","Coronavirus in humans is 96 per cent identical to the deadly strain found in BATS, study says – The Sun https://icotalknews.com/world-news/coronavirus-in-humans-is-96-per-cent-identical-to-the-deadly-strain-found-in-bats-study-says-the-sun/ …"
5,Coronavirus excess deaths: UK has one of highest levels in Europe ,"Wearing masks can help reduce the spread of coronavirus, but the practice has led to a new complaint — “maskne,” breakouts caused by wearing a mask for long periods of time. https://mtstandard.com/lifestyles/health-med-fit/how-to-prevent-maskne-and-other-face-mask-skin-issues-according-to-dermatologists/article_a7ef64b4-84a2-5add-9879-3d4af7bb001d.html?utm_campaign=snd-autopilot&amp;utm_medium=social&amp;utm_source=twitter_MontanaStandard",Just sitting here and waiting for the Economy and Stock Market to Collapse as the US and China are desperately inflating the market to create a false sense of security. This Corona Virus could really impact it in the next few months.
6,Covid-19 killer! #COVID19 ,"Wearing masks can help reduce the spread of coronavirus, but the practice has led to a new complaint — “maskne,” breakouts caused by wearing a mask for long periods of time. ","New images of the novel coronavirus were released Friday from the National Institute of Allergy and Infectious Diseases’ Rocky Mountain Laboratories in Hamilton, Mont. https://ravallirepublic.com/news/national/article_45bb22d7-fe7f-55c6-9804-85311292ae35.html?utm_medium=social&utm_source=twitter_RavalliRepublic …"
7,Chinese report says illnesses may be from new coronavirus https://apnews.com/1565541fb13b6a2f0c871e0eae02bd7d …,"Texas A&M student may have possible case of deadly coronavirus, the patient traveled from Wuhan, China, where the coronavirus originated, health officials say. https://nbcmontana.com/news/nation-world/suspected-case-of-coronavirus-under-investigation-in-texas …","New images of the novel coronavirus were released Friday from the National Institute of Allergy and Infectious Diseases’ Rocky Mountain Laboratories in Hamilton, Mont. https://helenair.com/news/national/montana-lab-releases-new-images-of-coronavirus/article_66dc6972-c39a-5d99-b5b0-fafdb4d39099.html?utm_medium=social&utm_source=twitter_helenaironline …"
8,"Health authorities in the central Chinese city of Wuhan on Saturday reported the country's first death from a new type of coronavirus. 
https://nbcmontana.com/news/nation-world/china-reports-1st-death-from-new-type-of-coronavirus …","The DS didn't get their war, though they've tried & tried. They did get the coronavirus, though.","#Coronavirus fears, U.S. business data drag down Wall Street https://reut.rs/2SOxUur 
#COVID19"
9,Coronavirus: more cases and second death reported in China | World news | The Guardian https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak?utm_term=RWRpdG9yaWFsX0d1YXJkaWFuVG9kYXlVS19XZWVrZW5kLTIwMDExOA%3D%3D&utm_source=esp&utm_medium=Email&CMP=GTUK_email&utm_campaign=GuardianTodayUK …,The fast-spreading coronavirus is the focus of this week's Spotlight Montana podcast. Hear from infectious disease specialist Pam Whitney with the Missoula City-County Health Department. https://nbcmontana.com/news/spotlight-montana/spotlight-montana-infectious-disease-specialist-breaks-down-coronavirus-concerns …,"Coronavirus pandemic exploding across the globe: South Korea surpasses 600 infections, Italy declares national emergency, Japan infections skyrocketing, nearly 2,000 non-China infections worldwide and doubling every few days http://theblogginghounds.com/2020/02/23/coronavirus-pandemic-exploding-across-the-globe-south-korea-surpasses-600-infections-italy-declares-national-emergency-japan-infections-skyrocketing-nearly-2000-non-china-infections-worldwide-and/ …pic.twitter.com/J2FWcXUMd9"
