,Positive,Neutral,Negative
0,378,"Deep dive: How each part of the medical-industrial equation acted in its own interest, and didn’t set aside resources that might have better prepared America for the coronavirus crisis. ",77
1,"Staying informed is important in times of crisis, but it's also important to separate facts from fiction. Help fight misinformation on #COVID19 by checking your sources! #Coronavirus v @UNPeacekeeping",The race for #coronavirus vaccines: a graphical guide https://www.nature.com/articles/d41586-020-01221-y#4quco:E0SS5wDMLPZD,Shame on @NYCMayor you Jew hating hypocrite! You will answer to God one day... only after you bow the knee to anti-Christ! @benshapiro @LisaMarieBoothe @piersmorgan @chuckwoolery @larryelder @DennisPrager #trump #coronavirus #NewYork
2,Just this whole coronavirus episode. Things reopening is positive but it will prob be soft at best. Will be ages before we travel normally again. Best case economic scenario we have a shit tonne more debt in the system.,Pick of the #coronavirus papers: SARS-CoV-2 might invade by hijacking its host’s immune defences ,"Not a surprise. Only little countries like Belgium, Austria, Switzerland count every possible death by Coronavirus. At one point, France did not count elderly people who died in retirement homes. Now yes. The first deaths in Italy have not been identified as victims of the C-19"
3,Status Update (April 29) on information regarding new coronavirus (COVID-19) situation in Switzerland and the region. See information and recommendations by Swiss Govt at - https://www.bag.admin.ch/bag/en/home/krankheiten/ausbrueche-epidemien-pandemien/aktuelle-ausbrueche-epidemien/novel-cov.html. Advisory attached. @MEAIndia @MoHFW_INDIA,The next phase of the relaxation of the Coronavirus measures for Switzerland have been announced by the Swiss government. Take a look here: ,7 Fraud Predictions in the Wake of the Coronavirus 
4,FACT: Exposing yourself to the sun or to temperature higher than 25C degrees DOES NOT prevent nor cure #COVID19 More: http://bit.ly/COVID19Mythbusters #coronavirus #KnowTheFacts,Hopes rise on #coronavirus drug #remdesivir,"Ten days ago in Newsweek, we exposed how China TV's @JamesChau has weaponized his @WHO celebrity ambassador title to portray China's response to the Coronavirus outbreak as heroic &amp; to conceal its crushing of those who tried to sound the alarm. "
5,"Due to the extraordinary circumstances caused by the spreading of Coronavirus (COVID-19), our Service Center is currently focusing on urgently necessary re-bookings.",Pick of the #coronavirus papers: SARS-CoV-2 might invade by hijacking its host’s immune defences ,How #Vietnam managed to keep its #COVID19 death toll at zero. “Authorities rigorously traced down the contacts of confirmed #coronavirus patients and placed them in a mandatory two-week quarantine.” 
6,How work will be different for young professionals—and their employers—because of the coronavirus pandemic http://dlvr.it/RXglGj,China is taking these steps to avoid a second wave of COVID-19 https://bit.ly/3aGib6c #coronavirus #China,Another monster bites the dust #RPG #strategy #online #browser #webgame #free2play #letsplay #grinding #idle #gaming #indiedev #gamedev #indiegame #indie #screenshotsaturday #weekendvibes #games #coronavirus #StaySafeStayHealthy
7,Trump: Coronavirus will have ‘a very good ending for us’ - POLITICO ,How Stanford University Is Going Virtual In The Coronavirus Era http://dlvr.it/RVjkWH,WHO Declares Coronavirus Outbreak a Global Public Health Emergency -- 2nd Update ⁦@OptionsPastor⁩ https://ih.advfn.com/p.php?pid=nmona&amp;article=81638969
8,#Coronavirus #Wuhan diary: Living alone in a city gone quiet: https://www.bbc.com/news/world-asia-china-51276656 #China,"It’s Not Whether You Were Exposed to the Coronavirus. It’s How Much. Three factors seem to be particularly important for aerosol transmission: proximity to the infected person, air flow and timing.- The New York Times ","Report by @juliaholli on Shi Muying, a UK resident visiting family in Wuhan, China. True #coronavirus infection numbers higher than reported due to limited testing capacity and some likely infected staying at home as hospitals are unable to admit everyone. "
9,"Just buy a mask and keep calm. Wash your hands and keep a healthy lifestyle. Enough sleep, vitamin C and chicken broth helps (it has anti-inflammatory virtues). That's probably all you can do atm. Buy food and some good books if you have to stay home. We'll survive #coronavirus",See how your airline is responding to the global pandemic #AvDelphi #COVID19 #CORONAVIRUS #Aviation #airline #passenger http://avdelphi.com/c19response,"#WHO declares global emergency as #China #coronavirus death toll reaches 170 ⁦@Reuters⁩ wrap tonight, pix by ⁦@denisbalibouse⁩"
10,#keepitlocal knitted. Before Covid19 when I was told No work! I did 2 blankets and a jumper too! @TheLastLeg,Follow the global impact on Aviation from the COVID-19 pandemic #AvDelphi #COVID19 #CORONAVIRUS #Aviation #news http://avdelphi.com/c19,#WHO declares #China #coronavirus outbreak an international emergency - my story from ⁦@WHO⁩ with ⁦@kkelland⁩
11," Good for online brands like Zalando or Tesla and for established brands like Nestle, Kraft Foods, Danone #COVID19 #Brands #Trust","Pandemic may reverse human development for first time in 30 years, UN says https://bit.ly/2B3byii #Coronavirus #InternationalDevelopment",Especially now when Ncov has spread to all regions in China an WHO has declared NCov a public health emergency of international concern. Phil. authorities wake up! BBC News - Coronavirus: Death toll rises as virus spreads to every Chinese region 
12,IMPORTANT : Open Geneva took good note of measures decided this morning by the Swiss Federal Council regarding #COVID19 and follows all recommendations by the Health Authorities of Canton Geneva.,Coronavirus: here’s what you need to know about face masks https://bit.ly/2ypZZRb #coronavirus #PPE,"If anything, the corona virus issue only emphasizes and even highlights the resurgence of the border."
13,Interesting take #covid19 ,First two #coronavirus cases confirmed in #Italy - prime minister,"The Coronavirus Global Health Emergency, an Amazon Rival, and More News "
14,"#Switzerland #COVID19 public information campaign gets underway. In multiple languages of course. We can practice that hand washing since there's no sport, carnival, or concerts to go to. Not even a watch fair... ",#coronaviruschina #coronarvirus Sample of my new book on the coronavirus ,@WHO declares the new #coronavirus outbreak a Public Health Emergency of International Concern (#PHEIC ) https://www.who.int/news-room/detail/30-01-2020-statement-on-the-second-meeting-of-the-international-health-regulations-(2005)-emergency-committee-regarding-the-outbreak-of-novel-coronavirus-(2019-ncov) https://www.who.int/emergencies/en/
15,#Switzerland is ready vor #COVID2019 #COVID19 #covid19ch #real #journalism #coronavirus #coronavirus19,"so are Arricle 43, Article 44, and implicitly Article 6... probably the EC statement with the largest ever number of references to specific Articles of the #IHR #coronavirus",You will see national emergency “literally” occur with corona virus. Then you will call me Baba Yaga :)
16,Simple ways to prevent the spread of #COVID19 in your workplace: Promote good respiratory hygiene Ensure that and/or are available at your workplaces for those who develop a runny nose or cough at work - along with closed bins for hygienic disposal of them. ,"The interview by Global Times, Chinese state publication, with Zeng Guang (Zeng), chief epidemiologist of the #China Center for Disease Control and Prevention: https://www.globaltimes.cn/content/1178031.shtml #coronavirus #wuhan",Ironic to see that wearing face masks in public is now de rigeur in HongKong with the example to do so being set by the territory’s leaders - when it had been made illegal earlier. Has that particular law been repealed? #Coronavirus
17,"I stand with the Government of #Italy as it strives to contain the #COVID19 outbreak and protect its citizens. WHO is determined to fight side by side with Italy and the @MinisteroSalute to defeat #coronavirus. With solidarity and collaboration, we will overcome this challenge.","#coronavirus: 2 cases being confirmed in #Rome, by Prime Minister @GiuseppeConteIT. Link to press conference ","I'd rather die in agony from coronavirus, while watching my wife and children drown in their own mucous, than be called a racist."
18,"𝑶𝒖𝒓 𝒈𝒓𝒆𝒂𝒕𝒆𝒔𝒕 𝒆𝒏𝒆𝒎𝒚 𝒏𝒐𝒘 𝒊𝒔 𝒏𝒐𝒕 𝒕𝒉𝒆 𝒗𝒊𝒓𝒖𝒔. 𝑰𝒕 𝒊𝒔 𝒇𝒆𝒂𝒓, 𝒓𝒖𝒎𝒐𝒓𝒔 𝒂𝒏𝒅 𝒔𝒕𝒊𝒈𝒎𝒂. @DrTedros of the World Health Organization @WHO urges for calm, solidarity and global cooperation in combating #COVID19. #coronavirus",Medical journal article is trending on Chinese Internet. #China’s CDC researchers wrote that human-to-human transmission has occurred among close contacts since the middle of December 2019. But the public didn’t learn until a month later on 20 Jan. #coronavirus #wuhan,"Under the Intl Health Regulations, countries implementing additional health measures that significantly interfere with intl traffic shall notify WHO of the public health rationale of those measures within 48h. WHO #COVID19 Situation Report 28February http://bit.ly/2TswcxR"
19,One sign of healthcare shortfalls: Kabul’s main treatment centre for coronavirus patients cannot yet diagnose the #Covid19 disease. ,"*First sequences from the Italian-based European #SARSCoV2 outbreak* Sequences from Brazil (a traveller from Italy) &amp; Germany, both taken on 25 Feb, link together. This could be the start to piece together samples from the latest cases across Europe #COVID19 #coronaviruseu","Today, the Swiss government banned mass-gathering events of more than 1000 people to slow #COVID19 This feels very surreal and it's quite scary how the public does not understand the most basic rules #Hygiene"
20,""" it’s normal &amp; understandable to feel anxious, especially if you live in a country or community that has been affected. Find out what you can do in your community. Discuss how to stay safe with your workplace, school or place of worship""-@DrTedros #COVID19 #coronavirus",WHO’s Dr Rosamund Lewis answers questions on protecting yourself from coronavirus #covid19 in the workplace: via LinkedIn live. https://lnkd.in/epibmHc,"Simple ways to prevent the spread of #COVID19 in your workplace: Brief your employees, contractors &amp; customers that if #coronavirus starts spreading in your community anyone with even a mild cough or fever (37.3° C or more) needs to stay at home http://bit.ly/2T0Ggim"
21,""" educate yourself about #COVID19. Make sure your information comes from reliable sources: your local or national public health agency, the WHO website, or your local health professional""-@DrTedros #coronavirus https://www.who.int/emergencies/diseases/novel-coronavirus-2019",We are officially in @tiktok_uk @tiktok_us - learn more about #COVID19 ,"Sadly, your old mate @BorisJohnson has a few social engagements this weekend, so the #COVID19 will just have to potter on unenvigilated until next week. The poor old fella needs his rest."
